,name,male,origin,isMarried,isNoble,popularity,isAlive,season,episode,deaths,episode_num
289,Aenys I Targaryen,1,House Targaryen,0,0,0.57190635451505,0,8,The Iron Throne,King Aerys II Targaryen/Mad King - 3 (Deceased),72
290,Aethan,0,Night's Watch,0,0,0.0100334448160535,1,0,,,0
291,Aethelmure,0,,0,1,0.0133779264214046,1,0,,,0
292,Aggar,1,House Greyjoy,0,0,0.0267558528428093,0,1,You Win or You Die,"Stag - Killed by an unknown person off-screen, body shown.",7
293,Agrivane,0,,0,1,0.0066889632107023,1,0,,,0
294,Aerys I Targaryen,1,House Targaryen,0,0,0.622073578595317,0,8,The Iron Throne,King Aerys II Targaryen/Mad King - 3 (Deceased),72
295,Alaric of Eysen,0,,0,0,0.0167224080267558,1,0,,,0
296,Aerys II Targaryen,1,House Targaryen,0,0,1.0,0,8,The Iron Throne,King Aerys II Targaryen/Mad King - 3 (Deceased),72
297,Alebelly,1,House Stark,0,0,0.0301003344481605,0,8,The Bells,"Alanna - Died during the Battle of King's Landing off-screen, body shown.",71
298,Alequo Adarys,1,Foreign Peasant,0,0,0.0133779264214046,0,8,The Long Night,Lady Alys Karstark (Wight) - Died when Arya Stark killed the Night King.,69
299,Alester Oakheart,1,House Tyrell,0,0,0.0167224080267558,1,0,,,0
300,Alia,0,,0,0,0.0,1,0,,,0
301,All-for-Joffrey,1,,0,0,0.0066889632107023,0,8,The Iron Throne,King/Prince Joffrey I Baratheon - 11 (Deceased),72
302,Allaquo,1,Foreign Peasant,0,0,0.020066889632107,1,0,,,0
303,Allyria Dayne,0,House Martell,0,0,0.0234113712374581,1,0,,,0
304,Alicent Hightower,0,House Tyrell,1,1,0.267558528428093,0,8,The Long Night,Lady Alys Karstark - Killed by wight off-screen. Reanimated as a wight.,69
305,Alyce,1,,0,0,0.0066889632107023,1,0,,,0
306,Alvyn Sharp,1,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
307,Alyn Hunt,1,Noble,0,1,0.0133779264214046,1,0,,,0
308,Alys Arryn,0,House Arryn,1,0,0.0802675585284281,1,0,,,0
309,Alysanne Bracken,0,House Tully,0,0,0.0334448160535117,1,0,,,0
310,Alyn Velaryon,1,Foreign Noble,1,1,0.160535117056856,0,8,The Long Night,Lady Alys Karstark (Wight) - Died when Arya Stark killed the Night King.,69
311,Alysanne Osgrey,0,House Tyrell,0,0,0.0267558528428093,0,8,The Long Night,Lady Alys Karstark (Wight) - Died when Arya Stark killed the Night King.,69
312,Alyssa Arryn,0,House Arryn,0,0,0.0066889632107023,1,0,,,0
313,Alysanne Hightower,0,House Tyrell,1,0,0.0568561872909698,1,0,,,0
314,Amabel,0,House Tully,0,0,0.0033444816053511,1,0,,,0
315,Ambrode,0,House Greyjoy,0,0,0.0033444816053511,1,0,,,0
316,Andrey Dalt,0,House Martell,0,1,0.0367892976588628,1,0,,,0
317,Andrey Charlton,1,House Frey,0,1,0.0133779264214046,0,3,And Now His Watch Is Ended,Craster - Stabbed in the throat by Karl Tanner with a knife.,24
318,Argrave the Defiant,1,House Targaryen,0,1,0.0133779264214046,1,0,,,0
319,Armen,1,,0,0,0.0301003344481605,1,0,,,0
320,Arneld,1,,0,1,0.0033444816053511,1,0,,,0
321,Arnell,1,Night's Watch,0,1,0.0066889632107023,1,0,,,0
322,Arrec Durrandon,1,,0,0,0.0,1,0,,,0
323,Arron,1,Night's Watch,0,0,0.0434782608695652,1,0,,,0
324,Arryk (guard),0,House Tyrell,0,0,0.0,1,0,,,0
325,Arron Qorgyle,1,House Martell,0,1,0.0234113712374581,1,0,,,0
326,Arson,1,Wildling,0,0,0.0,1,0,,,0
327,Aubrey Ambrose,1,House Tyrell,0,1,0.0066889632107023,1,0,,,0
328,Ayrmidon,0,Foreign Peasant,0,0,0.0066889632107023,1,0,,,0
329,Baelon Targaryen (son of Viserys I),1,House Targaryen,0,1,0.100334448160535,0,8,The Bells,Lord Varys - Burned alive by Drogon with his fire breath on the orders of Queen Daenerys I Targaryen.,71
330,Baelon Targaryen (son of Aerys),0,House Targaryen,0,1,0.0434782608695652,1,0,,,0
331,Balon Botley,1,House Greyjoy,0,0,0.0501672240802675,1,0,,,0
332,Baelor Targaryen (son of Daeron II),1,House Targaryen,1,1,0.474916387959866,0,1,Baelor,"Prince Aegon Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
333,Bandy,0,House Stark,0,0,0.020066889632107,1,0,,,0
334,Bannen,1,Night's Watch,0,0,0.0334448160535117,0,8,The Iron Throne,Benjen Stark - 17 (Deceased),72
335,Barre,1,,0,0,0.0133779264214046,1,0,,,0
336,Barbara Bracken,0,House Tully,0,0,0.0301003344481605,1,0,,,0
337,Barth (brewer),1,House Stark,0,0,0.0033444816053511,1,0,,,0
338,Bass,0,Night's Watch,0,0,0.0,1,0,,,0
339,Bearded Ben,1,Night's Watch,0,0,0.0234113712374581,1,0,,,0
340,Becca,1,House Arryn,0,0,0.0033444816053511,1,0,,,0
341,Beck,1,,0,1,0.0,1,0,,,0
342,Belandra,0,House Martell,0,0,0.0066889632107023,1,0,,,0
343,Beldecar,0,,0,0,0.0066889632107023,1,0,,,0
344,Belis,1,Noble,0,1,0.020066889632107,1,0,,,0
345,Bellonara Otherys,0,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
346,Bella,0,,0,0,0.0836120401337792,1,0,,,0
347,Ben,1,,0,0,0.0100334448160535,1,0,,,0
348,Ben Blackthumb,1,House Tully,0,0,0.0267558528428093,1,0,,,0
349,Ben Bones,1,House Bolton,0,0,0.0334448160535117,1,0,,,0
350,Ben Bushy,0,Noble,0,1,0.0234113712374581,0,8,The Bells,Unnamed Lannister Soldier - Chest slashed by Jon Snow using Longclaw.,71
351,Benedict,0,,0,1,0.0133779264214046,1,0,,,0
352,Benjen Stark (Bitter),1,House Stark,0,0,0.0133779264214046,1,0,,,0
353,Benjen Stark (Sweet),1,House Stark,0,0,0.0133779264214046,1,0,,,0
354,Bennet,0,,0,0,0.0066889632107023,1,0,,,0
355,Bennis,1,House Tyrell,0,1,0.0367892976588628,1,0,,,0
356,Beqqo,0,Foreign Peasant,0,0,0.0033444816053511,1,0,,,0
357,Bennarion Botley,1,House Greyjoy,0,0,0.0468227424749163,1,0,,,0
358,Beron Blacktyde,0,,0,0,0.0167224080267558,1,0,,,0
359,Bertram Beesbury,1,House Tyrell,0,1,0.0033444816053511,1,0,,,0
360,Bessa,1,,0,0,0.0066889632107023,1,0,,,0
361,Bessa (Winterfell),0,House Stark,0,0,0.0033444816053511,1,0,,,0
362,Bess Bracken,0,House Tully,0,0,0.0301003344481605,1,0,,,0
363,Bethany (Blushing Bethany),0,Foreign Peasant,0,0,0.0167224080267558,1,0,,,0
364,Bethany Fair-Fingers,0,,0,0,0.0066889632107023,1,0,,,0
365,Bharbo,0,Dothraki,0,0,0.0033444816053511,1,0,,,0
366,Big Boil,1,Wildling,0,0,0.0066889632107023,1,0,,,0
367,Blind Doss,0,Wildling,0,0,0.0,1,0,,,0
368,Blane,1,Night's Watch,0,0,0.020066889632107,1,0,,,0
369,Bodger,0,Wildling,0,0,0.0066889632107023,1,0,,,0
370,Borcas,1,Night's Watch,0,0,0.0,1,0,,,0
371,Bors,1,House Martell,0,0,0.0066889632107023,1,0,,,0
372,Borroq,1,Wildling,0,0,0.0267558528428093,1,0,,,0
373,Boy,1,,0,0,0.0100334448160535,1,0,,,0
374,Brandon Stark (Bad),1,House Stark,0,1,0.0167224080267558,1,0,,,0
375,Brandon Stark (Burner),1,House Stark,0,0,0.0334448160535117,1,0,,,0
376,Brandon Stark (the daughterless),1,House Stark,0,1,0.0334448160535117,1,0,,,0
377,Brandon Stark (son of Cregan),1,House Stark,1,1,0.1438127090301,1,0,,,0
378,Brandon Stark (Shipwright),1,House Stark,0,0,0.0367892976588628,1,0,,,0
379,Brea,0,Foreign Peasant,0,0,0.0234113712374581,1,0,,,0
380,Brella,0,House Baratheon,0,0,0.0167224080267558,1,0,,,0
381,Brenett,1,House Frey,0,1,0.0033444816053511,1,0,,,0
382,Briar,0,Wildling,0,0,0.0100334448160535,1,0,,,0
383,Brogg,1,Wildling,0,0,0.0066889632107023,1,0,,,0
384,Brusco,1,Foreign Peasant,0,0,0.0468227424749163,1,0,,,0
385,Brown Bernarr,0,Night's Watch,0,0,0.0234113712374581,0,3,The Bear and the Maiden Fair,"Bruni - Died in an unspecified manner off-screen, mentioned. Reanimated as a wight.",27
386,Bryan of Oldtown,0,House Tyrell,0,0,0.0033444816053511,1,0,,,0
387,Bryen,1,Noble,0,0,0.0167224080267558,1,0,,,0
388,Buford Bulwer,1,House Tyrell,0,1,0.0167224080267558,1,0,,,0
389,Bump,1,Wildling,0,0,0.0234113712374581,1,0,,,0
390,Buu,0,,0,0,0.0,1,0,,,0
391,Byan Votyris,1,Foreign Peasant,0,0,0.0,1,0,,,0
392,Byam Flint,1,Night's Watch,0,1,0.020066889632107,0,1,Fire and Blood,"Unnamed Boy - Beaten to death by Hot Pie off-screen, mentioned.",10
393,Byren Flowers,1,,0,1,0.0066889632107023,1,0,,,0
394,Byron,0,Noble,0,1,0.020066889632107,1,0,,,0
395,Cadwyl,1,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
396,Lord Cafferen,1,House Baratheon,0,1,0.020066889632107,0,1,Lord Snow,"Bear - Killed, cooked, and consumed by Yoren off-screen, mentioned.",3
397,Calon,0,House Stark,0,0,0.0133779264214046,1,0,,,0
398,Cadwyn,0,House Lannister,0,1,0.0,1,0,,,0
399,Canker Jeyne,0,Foreign Peasant,0,0,0.0100334448160535,1,0,,,0
400,Carellen Smallwood,0,House Tyrell,0,0,0.0367892976588628,1,0,,,0
401,Cass,0,,0,0,0.0167224080267558,1,0,,,0
402,Carrot,0,House Arryn,0,0,0.0100334448160535,1,0,,,0
403,Castos,0,,0,1,0.0066889632107023,1,0,,,0
404,Cedra,0,House Martell,0,0,0.0133779264214046,1,0,,,0
405,Catelyn Bracken,0,House Tully,0,0,0.0301003344481605,1,0,,,0
406,Cedric Payne,1,House Lannister,0,1,0.0133779264214046,0,8,The Iron Throne,Ser Podrick Payne - 4 (Alive),72
407,Cedrik Storm,0,House Baratheon,0,0,0.0033444816053511,1,0,,,0
408,Cerrick,1,House Greyjoy,0,1,0.0066889632107023,1,0,,,0
409,Cetheres,0,,0,1,0.0066889632107023,1,0,,,0
410,Catelyn Stark,0,House Tully,1,1,0.0,0,8,The Long Night,Lady Lyanna Mormont (Wight) - Died when Arya Stark killed the Night King.,69
411,Cheyk,0,Peasant,0,0,0.0133779264214046,1,0,,,0
412,Chiggen,1,,0,0,0.0167224080267558,0,8,The Iron Throne,Shaggydog (Direwolf) - 1 (Deceased),72
413,Clarence Crabb,1,Noble,0,1,0.0267558528428093,1,0,,,0
414,Clarence Charlton,0,House Frey,0,1,0.0133779264214046,1,0,,,0
415,Clarence Crabb (Short),1,Noble,0,1,0.0066889632107023,1,0,,,0
416,Clement,1,,0,1,0.0133779264214046,1,0,,,0
417,Cleyton Caswell,0,House Tyrell,0,1,0.0033444816053511,1,0,,,0
418,Clifford Conklyn,1,Noble,0,1,0.0066889632107023,1,0,,,0
419,Colen of Greenpools,1,House Baratheon,0,1,0.0167224080267558,1,0,,,0
420,Collio Quaynis,1,Foreign Noble,0,0,0.0167224080267558,1,0,,,0
421,Conn,1,Outlaw,0,0,0.0133779264214046,0,3,And Now His Watch Is Ended,"Bannen - Starved to death off-screen, body shown.",24
422,Coratt,1,Outlaw,0,0,0.0033444816053511,1,0,,,0
423,Cosgrove,0,House Targaryen,0,1,0.0,1,0,,,0
424,Cossomo,1,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
425,Courtenay Greenhill,0,Noble,0,1,0.0,1,0,,,0
426,Cregan Karstark,1,House Stark,0,0,0.0668896321070234,1,0,,,0
427,Cutjack,1,,0,0,0.0334448160535117,1,0,,,0
428,Dacks,1,House Arryn,0,0,0.0,1,0,,,0
429,Daella Targaryen (daughter of Jaehaerys I),0,House Targaryen,1,1,0.0869565217391304,0,8,The Long Night,Wight - Stabbed in the chest by Queen Daenerys I Targaryen with a sword.,69
430,Daella Targaryen (daughter of Maekar I),1,House Targaryen,0,1,0.0802675585284281,0,2,Valar Morghulis,Doreah - Died of natural causes after being locked in a vault by Queen Daenerys I Targaryen.,20
431,Daenerys Targaryen (daughter of Aegon IV),0,House Targaryen,1,1,0.0936454849498327,0,8,The Iron Throne,"Queen Daenerys I ""Dany"" Targaryen - 753,045 (Deceased)",72
432,Daeron I Targaryen,1,House Targaryen,0,0,0.518394648829431,0,8,The Iron Throne,"Queen Daenerys I ""Dany"" Targaryen - 753,045 (Deceased)",72
433,Daena Targaryen,0,House Targaryen,1,1,0.227424749163879,0,2,Valar Morghulis,Doreah - Died of natural causes after being locked in a vault by Queen Daenerys I Targaryen.,20
434,Daeryssa,0,,0,1,0.0066889632107023,1,0,,,0
435,Daeron Targaryen (son of Viserys I),1,House Targaryen,0,1,0.227424749163879,0,1,The Kingsroad,"Cersei Lannister's Son - Died of a fever off-screen, mentioned.",2
436,Dagon Ironmaker,1,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
437,Daeron Targaryen (son of Maekar I),1,House Targaryen,1,1,0.130434782608695,0,1,The Kingsroad,"Cersei Lannister's Son - Died of a fever off-screen, mentioned.",2
438,Daeron II Targaryen,1,House Targaryen,0,0,0.765886287625418,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
439,Dake,1,House Tyrell,0,0,0.0100334448160535,1,0,,,0
440,Dale Drumm,0,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
441,Dalla (Dragonstone),0,House Baratheon,0,0,0.0066889632107023,1,0,,,0
442,Damon Lannister (lord),1,House Lannister,1,1,0.0,0,3,Kissed by Fire,"Lord Beric Dondarrion - Hung and stabbed in the eye by an unknown Lannister soldier off-screen, mentioned. Resurrected by Thoros via the Lord of Light.",25
443,Dan,1,Wildling,0,0,0.0033444816053511,1,0,,,0
444,Damon Lannister (son of Jason),1,House Lannister,1,0,0.060200668896321,1,0,,,0
445,Darla Deddings,0,House Frey,0,1,0.0100334448160535,1,0,,,0
446,Danos Slynt,1,House Baratheon,0,0,0.0234113712374581,1,0,,,0
447,Daughter of the Dusk,0,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
448,Del,0,Wildling,0,0,0.0133779264214046,0,8,The Bells,Unella - Died when Drogon destroyed the Red Keep on the orders of Queen Daenerys I Targaryen.,71
449,Denestan,0,,0,1,0.0100334448160535,1,0,,,0
450,Denyo Terys,1,Foreign Peasant,0,0,0.0167224080267558,1,0,,,0
451,Dennis Plumm,1,House Targaryen,0,1,0.0267558528428093,1,0,,,0
452,Denys Drumm,1,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
453,Denys Redwyne,1,House Tyrell,0,0,0.0735785953177257,1,0,,,0
454,Denyse Hightower,0,House Tyrell,1,0,0.0735785953177257,1,0,,,0
455,Dhazzar,0,Foreign Peasant,0,1,0.0133779264214046,1,0,,,0
456,Dick Follard,1,Night's Watch,0,0,0.0301003344481605,0,8,The Bells,Unnamed Northern Soldier - Stabbed in the stomach by Jon Snow using Longclaw.,71
457,Dickon Manwoody,1,House Martell,0,0,0.0267558528428093,1,0,,,0
458,Dobber,1,,0,0,0.0267558528428093,0,8,The Iron Throne,Dongo (Giant) - 2 (Deceased),72
459,Donnel Drumm,1,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
460,Donel Greyjoy,1,House Greyjoy,0,0,0.060200668896321,1,0,,,0
461,Donella Hornwood,0,House Stark,1,1,0.0969899665551839,0,8,The Iron Throne,Donnel Hill - 1 (Deceased),72
462,Donnel Hill,1,Night's Watch,0,0,0.0434782608695652,1,0,,,0
463,Donnis,0,House Stark,0,0,0.0066889632107023,1,0,,,0
464,Donyse,0,,0,0,0.0,1,0,,,0
465,Dorcas,0,House Lannister,0,0,0.020066889632107,1,0,,,0
466,Dornish Dilly,0,Night's Watch,0,0,0.0033444816053511,0,2,Valar Morghulis,Doreah - Died of natural causes after being locked in a vault by Queen Daenerys I Targaryen.,20
467,Dorren Stark,1,House Stark,0,0,0.0133779264214046,1,0,,,0
468,Draqaz,0,Foreign Peasant,0,1,0.0167224080267558,1,0,,,0
469,Drennan,1,House Greyjoy,0,0,0.0133779264214046,0,4,The Watchers on the Wall,Dongo - Shot in the back by an unknown member of the Night's Watch with a ballista.,39
470,Dudley,1,,0,1,0.0,1,0,,,0
471,Dryn,1,Wildling,0,0,0.0167224080267558,1,0,,,0
472,Dunaver,0,House Lannister,0,1,0.0066889632107023,1,0,,,0
473,Durran,1,Foreign Noble,0,0,0.0434782608695652,1,0,,,0
474,Dyah,0,Wildling,1,0,0.0167224080267558,1,0,,,0
475,Dykk Harlaw,1,House Greyjoy,0,0,0.0100334448160535,0,3,Mhysa,"Dagmer - Flayed alive by Lord Ramsay Snow off-screen, mentioned.",30
476,Easy,1,Night's Watch,0,0,0.0033444816053511,0,5,Hardhome,"40 Oysters - Died in an unspecified manner off-screen, bodies shown.",48
477,Duncan Targaryen,1,House Targaryen,1,1,0.140468227424749,0,7,Eastwatch,Dickon Tarly - Burned alive by Drogon with his fire breath on the orders of Queen Daenerys I Targaryen.,65
478,Edgerran Oakheart,1,House Tyrell,0,1,0.0066889632107023,1,0,,,0
479,Eden Risley,1,Noble,0,1,0.0033444816053511,1,0,,,0
480,Edmund Ambrose,0,House Tyrell,0,1,0.0234113712374581,1,0,,,0
481,Edwyn Osgrey,1,House Tyrell,0,1,0.020066889632107,0,8,The Long Night,Eddison Tollett (Wight) - Died when Arya Stark killed the Night King.,69
482,Eggon,1,House Lannister,0,0,0.0133779264214046,1,0,,,0
483,Eglantine,0,Soldier,0,0,0.0066889632107023,1,0,,,0
484,Egon Emeros,0,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
485,Eldiss,1,House Greyjoy,0,0,0.0133779264214046,1,0,,,0
486,Eldred Codd,1,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
487,Elaena Targaryen,0,House Targaryen,1,1,0.137123745819397,0,8,The Bells,Ellaria Sand - Died when Drogon destroyed the Red Keep on the orders of Queen Daenerys I Targaryen.,71
488,Elys Westerling,0,House Lannister,0,1,0.0133779264214046,1,0,,,0
489,Elyas Willum,1,House Tyrell,0,0,0.0133779264214046,1,0,,,0
490,Elza,0,Foreign Peasant,0,0,0.0100334448160535,0,8,The Bells,Unella - Died when Drogon destroyed the Red Keep on the orders of Queen Daenerys I Targaryen.,71
491,Emma,0,,0,0,0.0167224080267558,1,0,,,0
492,Elys Waynwood,0,House Arryn,1,1,0.0702341137123745,1,0,,,0
493,Emrick,1,Night's Watch,0,0,0.0434782608695652,1,0,,,0
494,Endehar,0,,0,0,0.0,1,0,,,0
495,Emphyria Vance,0,House Tully,0,0,0.0167224080267558,1,0,,,0
496,Enger,0,House Tully,0,0,0.0,1,0,,,0
497,Erik Ironmaker,1,House Greyjoy,1,1,0.0501672240802675,1,0,,,0
498,Erreck,1,,0,1,0.0033444816053511,1,0,,,0
499,Erreg,0,Peasant,0,1,0.0167224080267558,1,0,,,0
500,Errok,1,Wildling,0,0,0.0066889632107023,1,0,,,0
501,Erryk (guard),0,House Tyrell,0,0,0.0,1,0,,,0
502,Esgred,1,,0,0,0.0,1,0,,,0
503,Eustace (Braavos),0,Soldier,0,0,0.0100334448160535,1,0,,,0
504,Eustace (Dance of the Dragons),1,Soldier,0,0,0.0367892976588628,1,0,,,0
505,Ezzara,0,Foreign Peasant,0,1,0.0066889632107023,1,0,,,0
506,Euron Greyjoy,1,House Greyjoy,0,0,0.739130434782608,0,8,The Iron Throne,King Euron Greyjoy - 10 (Deceased),72
507,Ezzelyno,0,Foreign Noble,0,1,0.0133779264214046,1,0,,,0
508,Fern,0,,0,0,0.0066889632107023,1,0,,,0
509,Ferny,0,Wildling,1,0,0.0167224080267558,1,0,,,0
510,Ferret,0,,0,0,0.0033444816053511,1,0,,,0
511,Fogo,1,Dothraki,0,1,0.020066889632107,0,1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned.",10
512,Fornio,1,Night's Watch,0,0,0.0100334448160535,1,0,,,0
513,Fralegg,1,House Greyjoy,0,0,0.0066889632107023,1,0,,,0
514,Frenya,1,Wildling,0,0,0.0434782608695652,0,3,Mhysa,Unnamed Frey Soldier - Repeatedly stabbed in the neck by Arya Stark with a knife.,30
515,Frynne,0,,0,0,0.0,1,0,,,0
516,Gage,0,House Stark,0,0,0.0334448160535117,1,0,,,0
517,Galladon of Morne,1,,0,1,0.0,1,0,,,0
518,Gallard,0,,0,1,0.0100334448160535,1,0,,,0
519,Galt,0,Outlaw,0,0,0.0033444816053511,1,0,,,0
520,Galtry the Green,1,,0,1,0.0133779264214046,1,0,,,0
521,Galyeon of Cuy,1,,0,0,0.0066889632107023,1,0,,,0
522,Gareth the Grey,1,,0,1,0.0033444816053511,1,0,,,0
523,Garigus,1,Noble,0,1,0.020066889632107,1,0,,,0
524,Garizon,0,,0,1,0.0066889632107023,1,0,,,0
525,Gariss,1,House Stark,0,0,0.0,1,0,,,0
526,Garrett Paege,1,House Frey,0,0,0.0133779264214046,1,0,,,0
527,Garth XII Gardener,0,,0,0,0.0133779264214046,1,0,,,0
528,Garth of Oldtown,0,Night's Watch,0,0,0.020066889632107,0,2,The Old Gods and the New,Ser Rodrik Cassel - Decapitated by Prince Theon Greyjoy with a sword.,16
529,Gascoyne,0,House Martell,0,1,0.0133779264214046,1,0,,,0
530,Gavin,0,Wildling,0,0,0.0066889632107023,1,0,,,0
531,Gelmarr,1,House Greyjoy,0,0,0.0267558528428093,0,8,The Bells,Unnamed Lannister Soldier - Stabbed in the stomach by Grey Worm with a spear.,71
532,Gerren,0,,0,0,0.0167224080267558,1,0,,,0
533,Gerold Lannister,1,House Lannister,1,1,0.0869565217391304,0,6,The Winds of Winter,Lancel Lannister - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.,60
534,Ghael,1,Foreign Peasant,0,1,0.0234113712374581,1,0,,,0
535,Gillam,1,,0,1,0.0100334448160535,1,0,,,0
536,Gladden Wylde,1,House Baratheon,0,1,0.0167224080267558,0,8,The Long Night,Wight - Slashed by Grey Worm with a spear.,69
537,Glendon Flowers,1,,0,1,0.0802675585284281,0,8,The Bells,Ser Preston Greenfield - Either crushed by rubble caused by Drogon on the orders of Queen Daenerys I Targaryen or slashed by Sandor Clegane/The Hound with a sword.,71
538,Goady,0,Night's Watch,0,0,0.0167224080267558,1,0,,,0
539,Godwyn,1,House Lannister,0,0,0.0,1,0,,,0
540,Gormond Drumm,1,House Greyjoy,0,0,0.0066889632107023,1,0,,,0
541,Gowen Baratheon,1,House Baratheon,1,0,0.0167224080267558,1,0,,,0
542,Grance Morrigen,1,House Baratheon,0,1,0.0100334448160535,1,0,,,0
543,Grazdan,1,Foreign Peasant,0,1,0.0133779264214046,0,3,And Now His Watch Is Ended,Greizhen mo Ullhor - Killed by unknown Unsullied on the orders of Queen Daenerys I Targaryen.,24
544,Grazdan zo Galare,1,Foreign Peasant,0,0,0.020066889632107,1,0,,,0
545,Green Gergen,1,,0,0,0.0,1,0,,,0
546,Great Walrus,1,Wildling,0,0,0.0133779264214046,1,0,,,0
547,Gretchel,1,House Arryn,0,0,0.0167224080267558,1,0,,,0
548,Grey King,1,House Greyjoy,0,0,0.0769230769230769,1,0,,,0
549,Griffin King,1,Foreign Noble,0,0,0.020066889632107,1,0,,,0
550,Grigg,0,Wildling,0,0,0.0066889632107023,1,0,,,0
551,Grisel,0,Noble,0,0,0.0033444816053511,1,0,,,0
552,Grisella,0,Wildling,0,0,0.0100334448160535,1,0,,,0
553,Gulian,0,,0,1,0.0033444816053511,1,0,,,0
554,Gulian Qorgyle,1,House Martell,0,1,0.0133779264214046,1,0,,,0
555,Gurn,0,Outlaw,0,0,0.0033444816053511,1,0,,,0
556,Guyne,0,,0,1,0.0066889632107023,1,0,,,0
557,Gwayne Corbray,1,House Baratheon,0,1,0.0434782608695652,1,0,,,0
558,Gwayne Gaunt,0,Noble,0,1,0.0367892976588628,1,0,,,0
559,Gwin Goodbrother,0,House Greyjoy,0,0,0.0267558528428093,1,0,,,0
560,Gyles,0,Soldier,0,1,0.0033444816053511,1,0,,,0
561,Gyleno Dothare,1,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
562,Gyles Farwynd,1,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
563,Gwynesse Harlaw,0,House Greyjoy,0,0,0.0568561872909698,1,0,,,0
564,Gyles Grafton,1,House Arryn,0,0,0.0167224080267558,1,0,,,0
565,Gyloro Dothare,1,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
566,Gyles III Gardener,1,,0,0,0.020066889632107,1,0,,,0
567,Gynir,1,House Greyjoy,0,0,0.0267558528428093,0,4,Breaker of Chains,Guymon - Shot in the back of the head by Ygritte with an arrow using a bow.,33
568,Haggon,1,Wildling,0,0,0.020066889632107,1,0,,,0
569,Gysella Goodbrother,0,House Greyjoy,0,0,0.0267558528428093,1,0,,,0
570,Hali,0,Wildling,0,0,0.020066889632107,0,2,Valar Morghulis,Doreah - Died of natural causes after being locked in a vault by Queen Daenerys I Targaryen.,20
571,Haldon,1,House Targaryen,0,0,0.127090301003344,1,0,,,0
572,Harbert Paege,0,House Frey,0,1,0.0133779264214046,1,0,,,0
573,Hamish the Harper,0,,0,0,0.020066889632107,0,5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by Ser Barristan Selmy with a sword.,44
574,Halys Hornwood,1,House Stark,1,1,0.107023411371237,0,3,"Dark Wings, Dark Words","Lord Hoster Tully - Died of an unspecified illness off-screen, body shown in ""Walk of Punishment"".",22
575,Harghaz,1,Foreign Peasant,0,0,0.0234113712374581,0,3,Mhysa,"Aggar - Flayed alive by Lord Ramsay Snow off-screen, mentioned.",30
576,Hareth (Mole's Town),1,Night's Watch,0,0,0.0501672240802675,1,0,,,0
577,Harlan Grandison,1,House Baratheon,0,1,0.0167224080267558,0,2,The Ghost of Harrenhal,Ser Robar Royce - Stabbed in the back by Brienne of Tarth with a sword.,15
578,Harle the Handsome,1,Wildling,0,0,0.0133779264214046,1,0,,,0
579,Harle the Huntsman,1,Wildling,0,0,0.0167224080267558,1,0,,,0
580,Harlon Botley,1,House Greyjoy,0,0,0.0468227424749163,1,0,,,0
581,Harmund Sharp,1,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
582,Harlon Greyjoy,1,House Greyjoy,0,0,0.0635451505016722,1,0,,,0
583,Harodon,0,,0,1,0.0066889632107023,1,0,,,0
584,Harra,0,House Tully,0,0,0.0167224080267558,0,2,The Ghost of Harrenhal,"Xaro Xhoan Daxos' Wife - Died in an unspecified manner off-screen, mentioned.",15
585,Harrag Sharp,0,House Greyjoy,0,0,0.0167224080267558,0,5,The House of Black and White,"Unnamed Member of The Sons of the Harpy - Stabbed in the head and chest by Mossador with knives off-screen, body shown.",42
586,Harrag Hoare,1,House Greyjoy,0,0,0.0267558528428093,1,0,,,0
587,Harren Half-Hoare,1,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
588,Harren Botley,0,House Greyjoy,0,0,0.060200668896321,0,2,The Ghost of Harrenhal,Ser Robar Royce - Stabbed in the back by Brienne of Tarth with a sword.,15
589,Harrold Osgrey,1,House Tyrell,0,1,0.0234113712374581,1,0,,,0
590,Harry Sawyer,0,Noble,0,1,0.0167224080267558,1,0,,,0
591,Harsley,1,,0,0,0.0033444816053511,0,2,The Ghost of Harrenhal,"Xaro Xhoan Daxos' Wife - Died in an unspecified manner off-screen, mentioned.",15
