Season,Episode,Deaths
Season 3,The Bear and the Maiden Fair,"Bruni - Died in an unspecified manner off-screen, mentioned. Reanimated as a wight."
Season 3,Second Sons,"Unnamed Man - Killed by Ser Gregor Clegane/The Mountain off-screen, mentioned."
Season 3,Second Sons,Three Leeches - Burned alive after being thrown into a fire by King Stannis Baratheon.
Season 3,Second Sons,"Mero - Decapitated by Daario Naharis off-screen, head shown."
Season 3,Second Sons,"Prendahl na Ghezn - Decapitated by Daario Naharis off-screen, head shown."
Season 3,The Rains of Castamere,"Pig - Killed by an unknown man off-screen, body shown."
Season 3,The Rains of Castamere,"Horse - Shot to death by unknown Free Folk with arrows off-screen, body shown."
Season 3,The Rains of Castamere,Unnamed Man - Shot in the chest by Ygritte with an arrow using a bow.
Season 3,The Rains of Castamere,Unnamed Free Folk - Slashed across the stomach by Jon Snow using Longclaw.
Season 3,The Rains of Castamere,Unnamed Free Folk - Throat ripped out by Summer while possessed by Lord Brandon Stark.
Season 3,The Rains of Castamere,Unnamed Free Folk - Mauled by Shaggydog while possessed by Lord Brandon Stark.
Season 3,The Rains of Castamere,Orell - Stabbed in the stomach by Jon Snow using Longclaw.
Season 3,The Rains of Castamere,"Unnamed Yunkai Soldier - Throat slit by Daario Naharis off-screen, body shown."
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Throat slashed by Grey Worm with a spear.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Slashed in the back by Ser Jorah Mormont with a sword.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Stomach slashed by Daario Naharis with an arakh.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Stabbed in the stomach by Grey Worm with a spear.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Chest slashed by Daario Naharis with an arakh.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Stabbed in the stomach by Daario Naharis with an arakh.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Chest slashed by Daario Naharis with an arakh.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Stabbed in the chest by Daario Naharis with an arakh.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Stabbed in the stomach by Grey Worm with a spear.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Stabbed in the throat by Daario Naharis with a thrown knife.
Season 3,The Rains of Castamere,Unnamed Yunkai Soldier - Stomach cut open by Daario Naharis with an arakh.
Season 3,The Rains of Castamere,Queen Talisa Stark - Repeatedly stabbed in the stomach by Lothar Frey with a knife.
Season 3,The Rains of Castamere,Talisa Stark's Unborn Child - Stabbed to death by Lothar Frey with a knife.
Season 3,The Rains of Castamere,Ser Wendel Manderly - Shot in the back of the head by an unknown Frey solider with a bolt using a crossbow.
Season 3,The Rains of Castamere,"At Least 15 Unnamed Stark Soldiers - Shot, beaten, and stabbed to death by unknown Frey soldiers."
Season 3,The Rains of Castamere,Unnamed Stark Soldier - Throat slashed by an unknown Frey solider.
Season 3,The Rains of Castamere,Three Unnamed Stark Soldiers - Stabbed in death by unknown Frey soldiers.
Season 3,The Rains of Castamere,Grey Wind (Direwolf) - Shot by unknown Frey soldiers with bolts using crossbows.
Season 3,The Rains of Castamere,King Robb Stark - Stabbed in the stomach by Lord Roose Bolton with a knife.
Season 3,The Rains of Castamere,Joyeuse Frey - Throat slit by Lady Catelyn Stark with a knife.
Season 3,Mhysa,Unnamed Stark Soldier - Burned alive by unknown Frey soldiers.
Season 3,Mhysa,Unnamed Stark Soldier - Decapitated by an unknown Frey soldier with an axe.
Season 3,Mhysa,Unnamed Stark Soldier - Hung by an unknown Frey soldier.
Season 3,Mhysa,"Six Unnamed Stark Soldiers - Killed by unknown Frey soldiers off-screen, bodies shown."
Season 3,Mhysa,"Unnamed Prince - Killed and cooked by Rat Cook off-screen, mentioned."
Season 3,Mhysa,"Dagmer - Flayed alive by Lord Ramsay Snow off-screen, mentioned."
Season 3,Mhysa,"Black Lorren - Flayed alive by Lord Ramsay Snow off-screen, mentioned."
Season 3,Mhysa,"Aggar - Flayed alive by Lord Ramsay Snow off-screen, mentioned."
Season 3,Mhysa,"Gelmarr - Flayed alive by Lord Ramsay Snow off-screen, mentioned."
Season 3,Mhysa,"Wex Pyke - Flayed alive by Lord Ramsay Snow off-screen, mentioned."
Season 3,Mhysa,"Urzen - Flayed alive by Lord Ramsay Snow off-screen, mentioned."
Season 3,Mhysa,"Stygg - Flayed alive by Lord Ramsay Snow off-screen, mentioned."
Season 3,Mhysa,"Ten Unnamed Ironborn Soldiers - Flayed alive by Lord Ramsay Snow off-screen, mentioned."
Season 3,Mhysa,Unnamed Frey Soldier - Repeatedly stabbed in the neck by Arya Stark with a knife.
Season 3,Mhysa,Unnamed Frey Soldier - Slashed across the chest by Sandor Clegane/The Hound with a sword.
Season 3,Mhysa,Unnamed Frey Soldier - Slashed across the face by Sandor Clegane/The Hound with a sword.
Season 4,Two Swords,"Princess Elia Martell - Cut in half by Ser Gregor Clegane/The Mountain with a sword on the orders of Lord Tywin Lannister off-screen, mentioned."
Season 4,Two Swords,Sheep - Mauled by Rhaegal and Viserion.
Season 4,Two Swords,"Rabbit - Shot in the eye by Ygritte with an arrow off-screen, mentioned."
Season 4,Two Swords,"Three Unspecified Animals - Died in an unspecified manner off-screen, bodies shown."
Season 4,Two Swords,"Unnamed Member of The Night's Watch - Killed by unknown Thenn off-screen, body shown."
Season 4,Two Swords,"1,000 Unnamed Slaves - Died while building the Great Pyramid of Meereen off-screen, mentioned."
Season 4,Two Swords,"Unnamed Female Slave - Crucified by unknown people off-screen, body shown."
Season 4,Two Swords,"162 Unnamed Slaves - Crucified by unknown people off-screen, mentioned."
Season 4,Two Swords,"Two Unnamed People - Killed by unknown people off-screen, bodies shown."
Season 4,Two Swords,"Prince Aemon Targaryen - Killed by unknown members of House Toyne off-screen, mentioned."
Season 4,Two Swords,Ser Duncan the Tall - Burned alive by unknown people during the Tragedy at Summerhall.
Season 4,Two Swords,"Two Chickens - Killed by unknown people off-screen, bodies shown."
Season 4,Two Swords,Unnamed Lannister Soldier - Back slashed by Sandor Clegane/The Hound with a sword.
Season 4,Two Swords,Lowell - Repeatedly stabbed in the eye by Sandor Clegane/The Hound with a knife.
Season 4,Two Swords,Unnamed Lannister Soldier - Stabbed in the stomach by Arya Stark with a sword.
Season 4,Two Swords,Unnamed Lannister Soldier - Stabbed in the groin and chest by Sandor Clegane/The Hound with a sword.
Season 4,The Lion and the Rose,Tansy - Mauled by the bastard's girls on the orders of Lord Ramsay Snow.
Season 4,The Lion and the Rose,Lord Axell Florent - Burned alive by unknown Baratheon soldiers on the orders of Melisandre/The Red Woman.
Season 4,The Lion and the Rose,Two Unnamed Men - Burned alive by unknown Baratheon soldiers on the orders of Melisandre/The Red Woman.
Season 4,The Lion and the Rose,"Two Seagulls - Shot by King Stannis Baratheon with arrows off-screen, mentioned."
Season 4,The Lion and the Rose,Deer - Mauled by Summer while possessed by Lord Brandon Stark.
Season 4,The Lion and the Rose,Two Pigeons - Accidentally decapitated by King Joffrey I Baratheon with Widow's Wail.
Season 4,Breaker of Chains,Ser Dontos Hollard - Shot by unknown soldiers with bolts using crossbows on the orders of Lord Petyr Baelish.
Season 4,Breaker of Chains,"King Baelor I Targaryen - Starved to death while fasting off-screen, mentioned."
Season 4,Breaker of Chains,"King Orys I - Killed by his unknown brother off-screen, mentioned."
Season 4,Breaker of Chains,"Sally's Mother - Died in an unspecified manner off-screen, mentioned."
Season 4,Breaker of Chains,"Three Birds - Died in an unspecified manner off-screen, bodies shown."
Season 4,Breaker of Chains,Guymon - Shot in the back of the head by Ygritte with an arrow using a bow.
Season 4,Breaker of Chains,Olly's Mother - Stabbed in the back of the head by Styr with an axe.
Season 4,Breaker of Chains,Unnamed Man - Throat slashed by an unknown Free Folk
Season 4,Breaker of Chains,Five Unnamed Civilians - Killed by unknown Free Folk.
Season 4,Breaker of Chains,Unnamed Man - Slashed in the stomach and back by Tormund Giantsbane with a sword.
Season 4,Breaker of Chains,Unnamed Man - Shot in the back by Ygritte with an arrow using a bow and throat slashed by Tormund Giantsbane with a sword.
Season 4,Breaker of Chains,Unnamed Man - Chest slashed by Tormund Giantsbane with a sword.
Season 4,Breaker of Chains,Unnamed Man - Slashed by Ygritte with a sword.
Season 4,Breaker of Chains,Unnamed Man - Slashed in the stomach and back by Tormund Giantsbane with a sword.
Season 4,Breaker of Chains,Unnamed Man - Slashed in the stomach and neck by Ygritte with a sword.
Season 4,Breaker of Chains,Unnamed Man - Stabbed by Ygritte with a sword.
Season 4,Breaker of Chains,Three Unnamed Civilians - Killed by unknown Free Folk.
Season 4,Breaker of Chains,Horse - Stabbed in the head by Daario Naharis with a thrown knife.
Season 4,Oathkeeper,Unnamed Great Master - Beaten to death by unknown slaves.
Season 4,First of His Name,"Rabbit - Died in an unspecified manner off-screen, body shown."
Season 4,First of His Name,Unnamed Mutineer - Slashed by Locke with a sword.
Season 4,First of His Name,Unnamed Mutineer - Stomach slashed by Locke with a sword.
Season 4,First of His Name,Unnamed Member of The Night's Watch - Stabbed by an unknown Mutineer with a sword.
Season 4,First of His Name,Unnamed Mutineer - Stabbed in the chest by an unknown member of the Night's Watch with an axe.
Season 4,First of His Name,Two Unnamed Members of The Night's Watch - Stabbed by an unknown Mutineer with a sword.
Season 4,First of His Name,Unnamed Mutineer - Stabbed in the stomach by Jon Snow using Longclaw.
Season 4,First of His Name,Unnamed Mutineer - Stabbed in the stomach by Eddison Tollett with a sword.
Season 4,First of His Name,Unnamed Mutineer - Stabbed in the back by Jon Snow using Longclaw.
Season 4,First of His Name,Locke - Neck broken by Hodor while possessed by Lord Brandon Stark.
Season 4,First of His Name,Two Unnamed Mutineers - Stabbed by Jon Snow using Longclaw.
Season 4,First of His Name,Unnamed Member of The Night's Watch - Stabbed by Karl Tanner with a knife.
Season 4,First of His Name,Karl Tanner - Stabbed in the back of the head by Jon Snow using Longclaw.
Season 4,First of His Name,Unnamed Mutineer - Stabbed in the stomach by Grenn with a sword.
Season 4,The Laws of Gods and Men,Unnamed Bolton Guard - Stabbed in the head by Princess Yara Greyjoy with an axe.
Season 4,The Laws of Gods and Men,Two Unnamed Bolton Guards - Stabbed in the chest by unknown Ironborn soldiers.
Season 4,The Laws of Gods and Men,Unnamed Bolton Guard - Throat slit by Princess Yara Greyjoy with an axe.
Season 4,The Laws of Gods and Men,Unnamed Bolton Guard - Stabbed in the back by Princess Yara Greyjoy with an axe.
Season 4,The Laws of Gods and Men,Unnamed Ironborn Soldier - Killed by an unknown Bolton guard.
Season 4,The Laws of Gods and Men,Three Unnamed Bolton Guards - Killed by unknown Ironborn soldiers.
Season 4,Mockingbird,Unnamed Prisoner - Impaled through the stomach by Ser Gregor Clegane/The Mountain with a sword.
Season 4,Mockingbird,Unnamed Prisoner - Stomach cut open by Ser Gregor Clegane/The Mountain with a sword.
Season 4,Mockingbird,Unnamed Prisoner - Slashed to death by Ser Gregor Clegane/The Mountain with a sword.
Season 4,Mockingbird,Unnamed Man - Stabbed in the heart by Sandor Clegane/The Hound with a knife.
Season 4,Mockingbird,Biter - Neck broken by Sandor Clegane/The Hound.
Season 4,Mockingbird,Rorge - Stabbed in the heart by Arya Stark with Needle.
Season 4,The Mountain and the Viper,Unnamed Man - Throat slit by an unknown Free Folk with a knife.
Season 4,The Mountain and the Viper,Unnamed Man - Stomach sliced open by Tormund Giantsbane with a sword.
Season 4,The Mountain and the Viper,Unnamed Woman - Stabbed in the stomach by Ygritte with a spear.
Season 4,The Mountain and the Viper,Unnamed Man - Stabbed by an unknown Free Folk.
Season 4,The Mountain and the Viper,Unnamed Man - Stabbed by Ygritte.
Season 4,The Mountain and the Viper,Unnamed Woman - Stabbed by Styr with an axe.
Season 4,The Mountain and the Viper,Unnamed Man - Stabbed in the chest by Tormund Giantsbane with a sword.
Season 4,The Mountain and the Viper,Kegs - Killed by unknown Free Folk off-screen.
Season 4,The Mountain and the Viper,Jack Bulwer - Killed by unknown Free Folk off-screen.
Season 4,The Mountain and the Viper,Mully - Killed by unknown Free Folk off-screen.
Season 4,The Mountain and the Viper,At Least 12 Unnamed Mole's Town Civilians - Killed by unknown Free Folk off-screen.
Season 4,The Mountain and the Viper,Unnamed Woman - Stabbed in the stomach by Ygritte with a spear.
Season 4,The Mountain and the Viper,Unnamed Woman - Throat slit by Ygritte with a knife.
Season 4,The Mountain and the Viper,"At Least 11 Unnamed Ironborn Raiders - Killed by unknown Bolton soldiers off-screen, bodies shown."
Season 4,The Mountain and the Viper,"Horse - Killed by unknown Bolton soldiers off-screen, body shown."
Season 4,The Mountain and the Viper,Ralf Kenning - Stabbed in the head by Adrack Humble with an axe.
Season 4,The Mountain and the Viper,"Adrack Humble - Flayed alive by Lord Ramsay Snow off-screen, body shown."
Season 4,The Mountain and the Viper,At Least Eight Unnamed Ironborn Raiders - Killed by unknown Bolton soldiers off-screen.
Season 4,The Mountain and the Viper,"Orson Lannister - Kicked in the chest by a mule off-screen, mentioned."
Season 4,The Watchers on the Wall,Three Unnamed Free Folk - Shot in the chest by unknown members of the Night's Watch with flaming arrows using bows.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Shot in the chest by Ygritte with a flaming arrow using a bow.
Season 4,The Watchers on the Wall,Four Unnamed Free Folk - Shot in the chest by unknown members of the Night's Watch with flaming arrows using bows.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Shot in the chest by Ygritte with an arrow using a bow.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Shot in the head by Ygritte with an arrow using a bow.
Season 4,The Watchers on the Wall,Two Unnamed Members of the Night's Watch - Shot in the chest by unknown Free Folk with arrows using bows.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Stabbed in the stomach by an unknown member of the Night's Watch with a sword.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Stomach slashed by an unknown member of the Night's Watch with a sword.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Slashed by Ser Alliser Thorne with a sword.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Stabbed in the chest by Tormund Giantsbane with a thrown axe.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Stabbed in the stomach by Tormund Giantsbane.
Season 4,The Watchers on the Wall,Five Unnamed Free Folk - Shot by unknown members of the Night's Watch with flaming arrows using bows.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Shot in the stomach by Dongo with an arrow using a bow.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Throat slashed by an unknown Free Folk.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Stabbed in the eye by an unknown Free Folk with a knife.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Stabbed in the stomach by Styr.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Stomach slashed by unknown member of the Night's Watch with a sword.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Throat slit by unknown member of the Night's Watch with a sword.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Stabbed in the neck by Styr with an axe.
Season 4,The Watchers on the Wall,Two Unnamed Members of the Night's Watch - Stabbed in the chest by Styr with an axe.
Season 4,The Watchers on the Wall,Three Unnamed Members of the Night's Watch - Shot by Ygritte with arrows using a bow.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Slashed in the stomach by an unknown member of the Night's Watch with an axe.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Beaten to death by an unknown member of the Night's Watch with a saucepan.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Slashed by an unknown member of the Night's Watch with a knife.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Decapitated by an unknown Free Folk with an axe.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Shot in the chest by Pypar with a bolt using a crossbow.
Season 4,The Watchers on the Wall,Pypar - Shot in the neck by Ygritte with an arrow using a bow.
Season 4,The Watchers on the Wall,Nine Unnamed Free Folk - Crushed by unknown members of the Night's Watch with barrels dropped from the Wall.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Chest slashed by Ser Alliser Thorne with a sword.
Season 4,The Watchers on the Wall,Unnamed Thenn Warg - Shot in the head by Samwell Tarly with a bolt using a crossbow.
Season 4,The Watchers on the Wall,Six Unnamed Free Folk - Burned alive by unknown members of the Night's Watch with burning oil barrels dropped from the Wall.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Crushed by a mammoth with its foot.
Season 4,The Watchers on the Wall,Dongo - Shot in the back by an unknown member of the Night's Watch with a ballista.
Season 4,The Watchers on the Wall,Three Unnamed Members of the Night's Watch - Blown up by a burning oil barrel.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Impaled in the stomach by burning rubble from an exploded oil barrel.
Season 4,The Watchers on the Wall,Smitty - Fell to his death after falling off the Wall.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Stomach slashed by Jon Snow using Longclaw.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Stabbed in the stomach by Jon Snow using Longclaw.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Stomach slashed by Jon Snow using Longclaw.
Season 4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Stabbed in the chest by an unknown Free Folk with an axe.
Season 4,The Watchers on the Wall,Three Unnamed Members of the Night's Watch - Stabbed by Tormund Giantsbane with a sword.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Stabbed in the stomach by unknown member of the Night's Watch with a sword.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Throat ripped out by Ghost.
Season 4,The Watchers on the Wall,Two Unnamed Free Folk - Slashed by Jon Snow using Longclaw.
Season 4,The Watchers on the Wall,Two Unnamed Members of the Night's Watch - Slashed by Tormund Giantsbane with a sword.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Chest slashed by Jon Snow using Longclaw.
Season 4,The Watchers on the Wall,Styr - Hit in the head by Jon Snow with a hammer.
Season 4,The Watchers on the Wall,Ygritte - Shot in the heart by Olly with an arrow using a bow.
Season 4,The Watchers on the Wall,Unnamed Free Folk - Stabbed in the chest by an unknown member of the Night's Watch.
Season 4,The Watchers on the Wall,14 Unnamed Members of the Night's Watch - Killed by unknown Free Folk during the Battle of Castle Black.
Season 4,The Watchers on the Wall,"Grenn - Killed by Mag Mar Tun Doh Weg off-screen, body shown."
Season 4,The Watchers on the Wall,"Donnel Hill​ - Killed by Mag Mar Tun Doh Weg off-screen, body shown."
Season 4,The Watchers on the Wall,"Cooper - Killed by Mag Mar Tun Doh Weg off-screen, body shown."
Season 4,The Watchers on the Wall,"Three Unnamed Members of the Night's Watch - Killed by Mag Mar Tun Doh Weg off-screen, bodies shown."
Season 4,The Children,"82 Unnamed Free Folk - Killed by unknown members of the Night's Watch off-screen, body shown."
Season 4,The Children,Four Unnamed Free Folk - Slashed by unknown Baratheon soldiers with spears.
Season 4,The Children,Unnamed Free Folk - Impaled in the chest by an unknown Baratheon soldier with a spear.
Season 4,The Children,Unnamed Baratheon Soldier - Shot by an unknown Free Folk with an arrow using a bow.
Season 4,The Children,Three Unnamed Free Folk - Slashed by unknown Baratheon soldiers with swords.
Season 4,The Children,Horse - Stabbed by an unknown Free Folk with an axe.
Season 4,The Children,Four Unnamed Free Folk - Slashed by unknown Baratheon soldiers with swords.
Season 4,The Children,"Zalla - Burned alive by Drogon with his fire breath off-screen, body shown."
Season 4,The Children,"Two Unspecified Animals - Killed and consumed by Rhaegal and Viserion off-screen, bodies shown."
Season 4,The Children,"14 Unnamed People - Died in an unspecified manner off-screen, bodies shown. Reanimated as wight."
Season 4,The Children,Wight - Stabbed in the head by Meera Reed with a knife.
Season 4,The Children,Wight - Mauled by Summer.
Season 4,The Children,Two Wight - Slammed into the ground by Hodor while possessed by Lord Brandon Stark.
Season 4,The Children,Wight - Cut in half by Meera Reed with an axe.
Season 4,The Children,Wight - Stabbed by Meera Reed with an axe.
Season 4,The Children,Two Wight - Blown up by Leaf with thrown fireballs.
Season 4,The Children,Jojen Reed - Stabbed by Meera Reed after being stabbed by Wight with a knife.
Season 4,The Children,Wight - Blown up by Leaf with a thrown fireball.
Season 4,The Children,Three Wight - Shattered after entering a heart tree.
Season 4,The Children,"18 Unnamed People - Died in an unspecified manner off-screen, skulls shown."
Season 4,The Children,Shae - Strangled by Lord Tyrion Lannister with her neckless.
Season 5,The Wars To Come,"Unnamed Baby - Killed by White Rat off-screen, mentioned."
Season 5,The Wars To Come,White Rat - Throat slit by an unknown member of the Sons of the Harpy with a knife.
Season 5,The Wars To Come,"Unnamed Fighter - Killed by Daario Naharis off-screen, mentioned."
Season 5,The Wars To Come,"Unnamed Slave Master - Died in an unspecified manner off-screen, mentioned."
Season 5,The House of Black and White,"Six Fish - Killed by an unknown person off-screen, bodies shown."
Season 5,The House of Black and White,Unnamed Knight of The Vale - Stomach slashed by Lady Brienne of Tarth with Oathkeeper.
Season 5,The House of Black and White,Unnamed Knight of The Vale - Slashed by Lady Brienne of Tarth with Oathkeeper.
Season 5,The House of Black and White,Unnamed Knight of The Vale - Stabbed in the neck by Lady Brienne of Tarth with Oathkeeper.
Season 5,The House of Black and White,"Unnamed Dwarf - Decapitated by unknown men off-screen, head shown."
Season 5,The House of Black and White,"Two of Gilly's Sisters - Died after being infected with Greyscale off-screen, mentioned."
Season 5,The House of Black and White,"Lord Commander Osric Stark - Died in an unspecified manner off-screen, mentioned."
Season 5,The House of Black and White,"995 Unnamed Lord Commanders of the Night's Watch - Died in an unspecified manner off-screen, mentioned."
Season 5,The House of Black and White,Pigeon - Decapitated by Arya Stark with Needle.
Season 5,The House of Black and White,"Unnamed Member of The Sons of the Harpy - Stabbed in the head and chest by Mossador with knives off-screen, body shown."
Season 5,The House of Black and White,"Mossador's Father - Died in an unspecified manner off-screen, mentioned."
Season 5,High Sparrow,Unnamed Man - Committed suicide by consuming poison.
Season 5,High Sparrow,"Medger Cerwyn - Flayed alive by Lord Ramsay Snow off-screen, body shown."
Season 5,High Sparrow,"Medger Cerwyn's Wife - Flayed alive by Lord Ramsay Snow off-screen, body shown."
Season 5,High Sparrow,"Medger Cerwyn's Brother - Flayed alive by Lord Ramsay Snow off-screen, body shown."
Season 5,High Sparrow,"Ser Lorimer - Hung by an unknown person off-screen, mentioned."
Season 5,High Sparrow,"Unnamed Man - Committed suicide by consuming poison off-screen, body shown."
Season 5,High Sparrow,Lord Janos Slynt - Decapitated by Lord Commander Jon Snow using Longclaw.
Season 5,Sons of the Harpy,Three Unnamed King's Landing Civilians - Slashed by unknown Faith Militants.
Season 5,Sons of the Harpy,Snake - Stabbed in the head by Ser Bronn with a thrown knife.
Season 5,Sons of the Harpy,Unnamed Dornish Guard - Stabbed in the neck by Ser Bronn with a thrown knife.
Season 5,Sons of the Harpy,Unnamed Dornish Guard - Stabbed in the chest by Ser Bronn with a sword.
Season 5,Sons of the Harpy,Horse - Chest slashed by Ser Bronn with a sword.
Season 5,Sons of the Harpy,Unnamed Dornish Guard - Stabbed in the chest by Ser Jaime Lannister with a sword.
Season 5,Sons of the Harpy,"Unnamed Dornish Guard - Killed by Ser Bronn off-screen, body shown."
Season 5,Sons of the Harpy,Unnamed Merchant Captain - Impaled in the head by Obara Sand with a thrown spear.
Season 5,Sons of the Harpy,"Two Birds - Killed and cooked by an unknown person off-screen, bodies shown."
Season 5,Sons of the Harpy,Unnamed Meereen Civilian - Throat slit by an unknown member of the Sons of the Harpy with a knife.
Season 5,Sons of the Harpy,Two Unnamed Meereen Civilians - Stabbed to death by unknown members of the Sons of the Harpy with knives.
Season 5,Sons of the Harpy,Unnamed Unsullied - Throat slashed by an unknown member of the Sons of the Harpy with a knife.
Season 5,Sons of the Harpy,Two Unnamed Members of The Sons of the Harpy - Stabbed in the stomach by an unknown Unsullied with a spear.
Season 5,Sons of the Harpy,Unnamed Unsullied - Stabbed to death by unknown members of the Sons of the Harpy with knives.
Season 5,Sons of the Harpy,Unnamed Unsullied - Throat slashed by an unknown member of the Sons of the Harpy with a knife.
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Beaten to death by Grey Worm with a shield.
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by Grey Worm with a spear.
Season 5,Sons of the Harpy,Two Unnamed Members of The Sons of the Harpy - Throats cut open by Grey Worm with a spear.
Season 5,Sons of the Harpy,Two Unnamed Unsullied - Stabbed to death by unknown members of the Sons of the Harpy with knives.
Season 5,Sons of the Harpy,Two Unnamed Members of The Sons of the Harpy - Stabbed in the stomach by Grey Worm with a spear.
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Neck broken by Grey Worm.
Season 5,Sons of the Harpy,Unnamed Unsullied - Throat slit by an unknown member of the Sons of the Harpy with a knife.
Season 5,Sons of the Harpy,Two Unnamed Unsullied - Stabbed to death by unknown members of the Sons of the Harpy with knives.
Season 5,Sons of the Harpy,Unnamed Unsullied - Throat slit by an unknown member of the Sons of the Harpy with a knife.
Season 5,Sons of the Harpy,Two Unnamed Members of The Sons of the Harpy - Stabbed in the stomach by Grey Worm with a spear.
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Stabbed in the back by Ser Barristan Selmy with a sword.
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Stomach cut open by Ser Barristan Selmy with a sword.
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by Ser Barristan Selmy with a sword.
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Stomach slashed by Grey Worm with a spear.
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Neck slashed by Ser Barristan Selmy with a sword.
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Stomach slashed by Ser Barristan Selmy with a sword.
Season 5,Sons of the Harpy,Three Unnamed Members of The Sons of the Harpy - Stabbed in the stomach by Ser Barristan Selmy with a sword.
Season 5,Sons of the Harpy,"Three Unnamed Members of The Sons of the Harpy - Killed by Grey Worm off-screen, bodies shown."
Season 5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Stabbed in the back by Grey Worm with a spear.
Season 5,Kill the Boy,Unnamed Meereen Leader - Burned alive by Rhaegal with his fire breath.
Season 5,Kill the Boy,"Two Birds - Killed and cooked by an unknown person off-screen, bodies shown."
Season 5,Kill the Boy,"Ramsay Bolton's Mother - Died in an unspecified manner off-screen, mentioned."
Season 5,Kill the Boy,"Unnamed Miller - Hung by Lord Roose Bolton off-screen, mentioned."
Season 5,Kill the Boy,"King Dorren Stark - Died in an unspecified manner off-screen, mentioned."
Season 5,"Unbowed, Unbent, Unbroken","Two Unnamed Men - Committed suicide by consuming poison off-screen, bodies shown."
Season 5,"Unbowed, Unbent, Unbroken","Unnamed Woman - Committed suicide by consuming poison off-screen, body shown."
Season 5,"Unbowed, Unbent, Unbroken",Ghita - Died after drinking poison water provided by Arya Stark.
Season 5,"Unbowed, Unbent, Unbroken","At Least 850 Unnamed People - Committed suicide by consuming poison off-screen, faces shown."
Season 5,"Unbowed, Unbent, Unbroken","Both of Petyr Baelish's Parents - Died in an unspecified manner off-screen, mentioned."
Season 5,"Unbowed, Unbent, Unbroken","Kyra - Mauled by the bastard's girls on the orders of Lord Ramsay Bolton off-screen, mentioned."
Season 5,The Gift,Maester Aemon Targaryen - Died of natural causes.
Season 5,The Gift,"Unnamed Woman - Flayed alive by Lord Ramsay Bolton off-screen, body shown."
Season 5,The Gift,"40 Horses - Died of hypothermia off-screen, mentioned."
Season 5,Hardhome,"18 Fish - Died in an unspecified manner off-screen, bodies shown."
Season 5,Hardhome,"40 Oysters - Died in an unspecified manner off-screen, bodies shown."
Season 5,Hardhome,"25 Clams - Died in an unspecified manner off-screen, bodies shown."
