Name,Region,Coat of Arms,Words,Titles,Seats,Current Lord,Heir,Overlord,Founded,Founder,Died Out,Ancestral Weapons,Cadet Branches,Sworn Members,URL
House Erenford,The Riverlands,"A golden heron, beak and legs black, standing with a silver fish in its beak, on a pink field(Carnation, a heron or, beaked and membered sable, clasped in its mouth a fish argent)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/143,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/600'],https://www.anapioficeandfire.com/api/houses/115
House Errol of Haystack Hall,The Stormlands,"A yellow haystack, on an orange field(Tenné, a haystack or)",,['Lord of Haystack Hall'],['Haystack Hall'],https://www.anapioficeandfire.com/api/characters/962,,https://www.anapioficeandfire.com/api/houses/17,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/962', 'https://www.anapioficeandfire.com/api/characters/977']",https://www.anapioficeandfire.com/api/houses/116
House Estermont of Greenstone,The Stormlands,"A dark-green sea-turtle on a pale-green field(Vert, a sea-turtle tergiant of the field)",,['Lord of Greenstone'],['Greenstone'],https://www.anapioficeandfire.com/api/characters/357,https://www.anapioficeandfire.com/api/characters/52,https://www.anapioficeandfire.com/api/houses/16,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/52', 'https://www.anapioficeandfire.com/api/characters/85', 'https://www.anapioficeandfire.com/api/characters/118', 'https://www.anapioficeandfire.com/api/characters/230', 'https://www.anapioficeandfire.com/api/characters/357', 'https://www.anapioficeandfire.com/api/characters/639', 'https://www.anapioficeandfire.com/api/characters/999']",https://www.anapioficeandfire.com/api/houses/117
House Estren of Wyndhall,The Westerlands,"A green saltire between four red double-headed eagles, on a white field(Argent, a saltire vert between four double-headed eagles displayed gules)",,['Lord of Wyndhall'],['Wyndhall'],https://www.anapioficeandfire.com/api/characters/860,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/860'],https://www.anapioficeandfire.com/api/houses/118
House Falwell,The Westerlands,"A fool in red and gold motley juggling five suns, on a black field(Sable, a fool proper clothed in motley gules and or, juggling five suns-in-splendour of the last)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/119
House Farman of Faircastle,The Westerlands,"Three silver ships on a blue field with a border of crimson and gold(Azure, three galleys argent within a bordure compony gules and or)",,['Lord of Fair Isle'],"['Faircastle, Fair Isle']",https://www.anapioficeandfire.com/api/characters/963,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/101', 'https://www.anapioficeandfire.com/api/characters/551', 'https://www.anapioficeandfire.com/api/characters/963']",https://www.anapioficeandfire.com/api/houses/120
House Farring,The Crownlands,"Per pale purpure and argent, two knights combatant crossing swords counterchanged",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/15,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/123', 'https://www.anapioficeandfire.com/api/characters/222', 'https://www.anapioficeandfire.com/api/characters/424', 'https://www.anapioficeandfire.com/api/characters/430']",https://www.anapioficeandfire.com/api/houses/121
House Farwynd of Sealskin Point,Iron Islands,,,[''],['Sealskin Point'],https://www.anapioficeandfire.com/api/characters/2033,,https://www.anapioficeandfire.com/api/houses/169,,,,[''],['https://www.anapioficeandfire.com/api/houses/123'],['https://www.anapioficeandfire.com/api/characters/2033'],https://www.anapioficeandfire.com/api/houses/122
House Farwynd of the Lonely Light,Iron Islands,"Per fess wavy tenny and sable, a demi-torteaux gules issuant from the division surmounted by a longship sailing upon the division of the second",,[''],['Lonely Light'],https://www.anapioficeandfire.com/api/characters/453,https://www.anapioficeandfire.com/api/characters/455,https://www.anapioficeandfire.com/api/houses/169,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/453', 'https://www.anapioficeandfire.com/api/characters/455', 'https://www.anapioficeandfire.com/api/characters/1128', 'https://www.anapioficeandfire.com/api/characters/1130']",https://www.anapioficeandfire.com/api/houses/123
House Fell of Felwood,The Stormlands,"Per fess, a white crescent moon on a black field above a green field, a sprucetree line between(Per fess sapinagé vert and sable, in dexter chief a moon increscent argent)",,['Lord of Felwood'],['Felwood'],,,https://www.anapioficeandfire.com/api/houses/17,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/482', 'https://www.anapioficeandfire.com/api/characters/1119']",https://www.anapioficeandfire.com/api/houses/124
House Fenn,The Neck,"Purpure, three water lilies sable",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/318,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/125
House Ferren,The Westerlands,"Per saltire, checkered red and gold, a silver and black ferret on a green field(Per saltire chequy gules and or and vert, in each flank point a ferret argent and sable)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/126
House Fisher,The Riverlands,"A crowned catfish, spotted grey, on a blue field(Azure, a catfish cendrée, crowned or)",,['River king'],['Misty Isle'],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/127
House Fisher of the Stony Shore,The North,,,[''],['Stony Shore'],,,https://www.anapioficeandfire.com/api/houses/362,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/128
House Flint  of the mountains,The North,,,"['The Flint', 'Lord Flint']",['northern mountains'],https://www.anapioficeandfire.com/api/characters/2023,,https://www.anapioficeandfire.com/api/houses/362,,,,[''],"['https://www.anapioficeandfire.com/api/houses/131', 'https://www.anapioficeandfire.com/api/houses/132']","['https://www.anapioficeandfire.com/api/characters/1175', 'https://www.anapioficeandfire.com/api/characters/2023']",https://www.anapioficeandfire.com/api/houses/129
House Flint of Breakstone Hill,The North,,,[''],['Breakstone Hill'],,,https://www.anapioficeandfire.com/api/houses/362,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/130
House Flint of Flint's Finger,The North,Paly sable and cendrée on a pall inverted argent a hand couped of the second,,[''],"[""Flint's Finger""]",https://www.anapioficeandfire.com/api/characters/1882,,https://www.anapioficeandfire.com/api/houses/34,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/1882'],https://www.anapioficeandfire.com/api/houses/131
House Flint of Widow's Watch,The North,"Azure, semy of whitecaps argent on a chief wavy Or two eyes of the second irised of the first and pupiled sable",Ever Vigilant,[''],"[""Widow's Watch""]",https://www.anapioficeandfire.com/api/characters/669,,https://www.anapioficeandfire.com/api/houses/34,,,,[''],"['https://www.anapioficeandfire.com/api/houses/129', 'https://www.anapioficeandfire.com/api/houses/131']","['https://www.anapioficeandfire.com/api/characters/669', 'https://www.anapioficeandfire.com/api/characters/1882']",https://www.anapioficeandfire.com/api/houses/132
House Florent of Brightwater Keep,The Reach,A red fox in a circle of blue flowers on ermine,,['Lord of Brightwater'],['Stripped (formerly Brightwater Keep)'],https://www.anapioficeandfire.com/api/characters/68,https://www.anapioficeandfire.com/api/characters/742,https://www.anapioficeandfire.com/api/houses/15,,https://www.anapioficeandfire.com/api/characters/1388,,[''],[],"['https://www.anapioficeandfire.com/api/characters/68', 'https://www.anapioficeandfire.com/api/characters/72', 'https://www.anapioficeandfire.com/api/characters/153', 'https://www.anapioficeandfire.com/api/characters/250', 'https://www.anapioficeandfire.com/api/characters/296', 'https://www.anapioficeandfire.com/api/characters/383', 'https://www.anapioficeandfire.com/api/characters/522', 'https://www.anapioficeandfire.com/api/characters/738', 'https://www.anapioficeandfire.com/api/characters/742', 'https://www.anapioficeandfire.com/api/characters/750', 'https://www.anapioficeandfire.com/api/characters/877', 'https://www.anapioficeandfire.com/api/characters/944', 'https://www.anapioficeandfire.com/api/characters/949', 'https://www.anapioficeandfire.com/api/characters/1935']",https://www.anapioficeandfire.com/api/houses/133
House Follard,The Crownlands,"Gyronny gules and argent, on a canton Or a fool's cap two peaked of the first and second",None so Wise,[''],[''],,,https://www.anapioficeandfire.com/api/houses/16,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/134
House Foote,The Westerlands,"A copper dagger across a black chevron, on a white field(Argent, a chevron reversed sable, surmounted by a dagger erect tenné)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],['https://www.anapioficeandfire.com/api/houses/136'],['https://www.anapioficeandfire.com/api/characters/825'],https://www.anapioficeandfire.com/api/houses/135
House Foote of Nightsong,The Stormlands,,,"['Lord of Nightsong', 'Lord of the Marches']",['Nightsong'],https://www.anapioficeandfire.com/api/characters/825,,https://www.anapioficeandfire.com/api/houses/16,299 AC,https://www.anapioficeandfire.com/api/characters/825,,[''],[],['https://www.anapioficeandfire.com/api/characters/825'],https://www.anapioficeandfire.com/api/houses/136
House Footly of Tumbleton,The Reach,a field of silver caltrops on black,Tread Lightly Here,[''],['Tumbleton'],,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/137
House Forrester,The North,"an ironwood tree outline with a sword outline drawn inside it, pointing down. (Telltale)",Iron from Ice (Telltale),[''],['Ironrath (Telltale)'],,,https://www.anapioficeandfire.com/api/houses/150,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/138
House Fossoway of Cider Hall,The Reach,"Or, an apple gules",Taste of Glory,['Lord of Cider Hall'],['Cider Hall'],,,https://www.anapioficeandfire.com/api/houses/398,,https://www.anapioficeandfire.com/api/characters/395,,[''],['https://www.anapioficeandfire.com/api/houses/140'],"['https://www.anapioficeandfire.com/api/characters/218', 'https://www.anapioficeandfire.com/api/characters/350', 'https://www.anapioficeandfire.com/api/characters/395', 'https://www.anapioficeandfire.com/api/characters/988', 'https://www.anapioficeandfire.com/api/characters/1011']",https://www.anapioficeandfire.com/api/houses/139
House Fossoway of New Barrel,The Reach,"Or, an apple vert",,['The Knight of New Barrel'],['New Barrel'],https://www.anapioficeandfire.com/api/characters/577,,https://www.anapioficeandfire.com/api/houses/398,209 AC,https://www.anapioficeandfire.com/api/characters/853,,[''],[],"['https://www.anapioficeandfire.com/api/characters/532', 'https://www.anapioficeandfire.com/api/characters/552', 'https://www.anapioficeandfire.com/api/characters/577', 'https://www.anapioficeandfire.com/api/characters/853']",https://www.anapioficeandfire.com/api/houses/140
House Fowler of Skyreach,Dorne,"Argent, a hooded hawk trussed azure",Let Me Soar,"['Lord of Skyreach', ""Warden of the Prince's Pass"", 'Lord of the Wide Way', 'King of Stone and Sky']",['Skyreach'],https://www.anapioficeandfire.com/api/characters/396,,https://www.anapioficeandfire.com/api/houses/285,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/396'],https://www.anapioficeandfire.com/api/houses/141
House Frey of Riverrun,The Riverlands,,,['Lord of Riverrun'],['Riverrun'],https://www.anapioficeandfire.com/api/characters/377,https://www.anapioficeandfire.com/api/characters/1058,https://www.anapioficeandfire.com/api/houses/10,299 AC,https://www.anapioficeandfire.com/api/characters/377,,[''],[],"['https://www.anapioficeandfire.com/api/characters/377', 'https://www.anapioficeandfire.com/api/characters/415', 'https://www.anapioficeandfire.com/api/characters/682', 'https://www.anapioficeandfire.com/api/characters/1058', 'https://www.anapioficeandfire.com/api/characters/1092', 'https://www.anapioficeandfire.com/api/characters/1115']",https://www.anapioficeandfire.com/api/houses/142
House Frey of the Crossing,The Riverlands,"Two blue towers, united by a bridge, on a silver-grey field(Cendrée, a bridge azure, at either end a tower of the same)",,['Lord of the Crossing'],['The Twins'],https://www.anapioficeandfire.com/api/characters/1093,https://www.anapioficeandfire.com/api/characters/352,https://www.anapioficeandfire.com/api/houses/10,600 years ago,,,[''],['https://www.anapioficeandfire.com/api/houses/142'],"['https://www.anapioficeandfire.com/api/characters/30', 'https://www.anapioficeandfire.com/api/characters/36', 'https://www.anapioficeandfire.com/api/characters/37', 'https://www.anapioficeandfire.com/api/characters/53', 'https://www.anapioficeandfire.com/api/characters/56', 'https://www.anapioficeandfire.com/api/characters/70', 'https://www.anapioficeandfire.com/api/characters/86', 'https://www.anapioficeandfire.com/api/characters/95', 'https://www.anapioficeandfire.com/api/characters/108', 'https://www.anapioficeandfire.com/api/characters/111', 'https://www.anapioficeandfire.com/api/characters/112', 'https://www.anapioficeandfire.com/api/characters/114', 'https://www.anapioficeandfire.com/api/characters/122', 'https://www.anapioficeandfire.com/api/characters/123', 'https://www.anapioficeandfire.com/api/characters/145', 'https://www.anapioficeandfire.com/api/characters/146', 'https://www.anapioficeandfire.com/api/characters/173', 'https://www.anapioficeandfire.com/api/characters/180', 'https://www.anapioficeandfire.com/api/characters/187', 'https://www.anapioficeandfire.com/api/characters/199', 'https://www.anapioficeandfire.com/api/characters/204', 'https://www.anapioficeandfire.com/api/characters/219', 'https://www.anapioficeandfire.com/api/characters/237', 'https://www.anapioficeandfire.com/api/characters/251', 'https://www.anapioficeandfire.com/api/characters/252', 'https://www.anapioficeandfire.com/api/characters/262', 'https://www.anapioficeandfire.com/api/characters/263', 'https://www.anapioficeandfire.com/api/characters/291', 'https://www.anapioficeandfire.com/api/characters/295', 'https://www.anapioficeandfire.com/api/characters/297', 'https://www.anapioficeandfire.com/api/characters/311', 'https://www.anapioficeandfire.com/api/characters/352', 'https://www.anapioficeandfire.com/api/characters/368', 'https://www.anapioficeandfire.com/api/characters/375', 'https://www.anapioficeandfire.com/api/characters/417', 'https://www.anapioficeandfire.com/api/characters/486', 'https://www.anapioficeandfire.com/api/characters/501', 'https://www.anapioficeandfire.com/api/characters/502', 'https://www.anapioficeandfire.com/api/characters/528', 'https://www.anapioficeandfire.com/api/characters/530', 'https://www.anapioficeandfire.com/api/characters/534', 'https://www.anapioficeandfire.com/api/characters/535', 'https://www.anapioficeandfire.com/api/characters/549', 'https://www.anapioficeandfire.com/api/characters/590', 'https://www.anapioficeandfire.com/api/characters/600', 'https://www.anapioficeandfire.com/api/characters/602', 'https://www.anapioficeandfire.com/api/characters/609', 'https://www.anapioficeandfire.com/api/characters/619', 'https://www.anapioficeandfire.com/api/characters/628', 'https://www.anapioficeandfire.com/api/characters/649', 'https://www.anapioficeandfire.com/api/characters/690', 'https://www.anapioficeandfire.com/api/characters/693', 'https://www.anapioficeandfire.com/api/characters/700', 'https://www.anapioficeandfire.com/api/characters/711', 'https://www.anapioficeandfire.com/api/characters/712', 'https://www.anapioficeandfire.com/api/characters/723', 'https://www.anapioficeandfire.com/api/characters/730', 'https://www.anapioficeandfire.com/api/characters/747', 'https://www.anapioficeandfire.com/api/characters/751', 'https://www.anapioficeandfire.com/api/characters/765', 'https://www.anapioficeandfire.com/api/characters/769', 'https://www.anapioficeandfire.com/api/characters/786', 'https://www.anapioficeandfire.com/api/characters/800', 'https://www.anapioficeandfire.com/api/characters/817', 'https://www.anapioficeandfire.com/api/characters/818', 'https://www.anapioficeandfire.com/api/characters/820', 'https://www.anapioficeandfire.com/api/characters/824', 'https://www.anapioficeandfire.com/api/characters/854', 'https://www.anapioficeandfire.com/api/characters/866', 'https://www.anapioficeandfire.com/api/characters/899', 'https://www.anapioficeandfire.com/api/characters/900', 'https://www.anapioficeandfire.com/api/characters/937', 'https://www.anapioficeandfire.com/api/characters/947', 'https://www.anapioficeandfire.com/api/characters/948', 'https://www.anapioficeandfire.com/api/characters/950', 'https://www.anapioficeandfire.com/api/characters/952', 'https://www.anapioficeandfire.com/api/characters/956', 'https://www.anapioficeandfire.com/api/characters/959', 'https://www.anapioficeandfire.com/api/characters/960', 'https://www.anapioficeandfire.com/api/characters/968', 'https://www.anapioficeandfire.com/api/characters/976', 'https://www.anapioficeandfire.com/api/characters/989', 'https://www.anapioficeandfire.com/api/characters/994', 'https://www.anapioficeandfire.com/api/characters/1000', 'https://www.anapioficeandfire.com/api/characters/1004', 'https://www.anapioficeandfire.com/api/characters/1025', 'https://www.anapioficeandfire.com/api/characters/1045', 'https://www.anapioficeandfire.com/api/characters/1053', 'https://www.anapioficeandfire.com/api/characters/1054', 'https://www.anapioficeandfire.com/api/characters/1056', 'https://www.anapioficeandfire.com/api/characters/1058', 'https://www.anapioficeandfire.com/api/characters/1059', 'https://www.anapioficeandfire.com/api/characters/1081', 'https://www.anapioficeandfire.com/api/characters/1082', 'https://www.anapioficeandfire.com/api/characters/1083', 'https://www.anapioficeandfire.com/api/characters/1084', 'https://www.anapioficeandfire.com/api/characters/1085', 'https://www.anapioficeandfire.com/api/characters/1086', 'https://www.anapioficeandfire.com/api/characters/1087', 'https://www.anapioficeandfire.com/api/characters/1089', 'https://www.anapioficeandfire.com/api/characters/1090', 'https://www.anapioficeandfire.com/api/characters/1091', 'https://www.anapioficeandfire.com/api/characters/1093', 'https://www.anapioficeandfire.com/api/characters/1096', 'https://www.anapioficeandfire.com/api/characters/1100', 'https://www.anapioficeandfire.com/api/characters/1102', 'https://www.anapioficeandfire.com/api/characters/1105', 'https://www.anapioficeandfire.com/api/characters/1107', 'https://www.anapioficeandfire.com/api/characters/1115', 'https://www.anapioficeandfire.com/api/characters/1134', 'https://www.anapioficeandfire.com/api/characters/1136', 'https://www.anapioficeandfire.com/api/characters/1217', 'https://www.anapioficeandfire.com/api/characters/1234', 'https://www.anapioficeandfire.com/api/characters/1275', 'https://www.anapioficeandfire.com/api/characters/1392', 'https://www.anapioficeandfire.com/api/characters/1544', 'https://www.anapioficeandfire.com/api/characters/1674', 'https://www.anapioficeandfire.com/api/characters/1696', 'https://www.anapioficeandfire.com/api/characters/1799', 'https://www.anapioficeandfire.com/api/characters/1900', 'https://www.anapioficeandfire.com/api/characters/1916', 'https://www.anapioficeandfire.com/api/characters/1997', 'https://www.anapioficeandfire.com/api/characters/2054']",https://www.anapioficeandfire.com/api/houses/143
House Frost,The North,,,[''],[''],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/144
House Gardener of Highgarden,The Reach,"Argent, a hand couped vert",,"['King of the Reach', 'Lord of Highgarden']",['Highgarden'],,,,Age of Heroes,https://www.anapioficeandfire.com/api/characters/410,1 AC in the War of Conquest,[''],[],['https://www.anapioficeandfire.com/api/characters/75'],https://www.anapioficeandfire.com/api/houses/145
House Gargalen of Salt Shore,Dorne,"Or, a cockatrice gules, in its beak a serpent sable",,['Lord of Salt Shore'],['Salt Shore'],https://www.anapioficeandfire.com/api/characters/1036,,https://www.anapioficeandfire.com/api/houses/285,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/1036'],https://www.anapioficeandfire.com/api/houses/146
House Garner,The Westerlands,"Three grey owls upon white plates, on a green field(Vert, three plates, each charged with an owl close affronté cendrée)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/147
House Gaunt,The Crownlands,"Purpure, three lances palewise in fess between two flaunches sable",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/16,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/448'],https://www.anapioficeandfire.com/api/houses/148
House Glenmore,The North,,,[''],['Rillwater Crossing'],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/149
House Glover of Deepwood Motte,The North,"Gules, a gauntlet argent",,['Master of Deepwood Motte'],['Deepwood Motte'],https://www.anapioficeandfire.com/api/characters/397,https://www.anapioficeandfire.com/api/characters/903,https://www.anapioficeandfire.com/api/houses/362,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/381', 'https://www.anapioficeandfire.com/api/characters/384', 'https://www.anapioficeandfire.com/api/characters/397', 'https://www.anapioficeandfire.com/api/characters/411', 'https://www.anapioficeandfire.com/api/characters/903', 'https://www.anapioficeandfire.com/api/characters/998']",https://www.anapioficeandfire.com/api/houses/150
House Goodbrook,The Riverlands,"A blue wavy bend, on a gold field(Or, a bend wavy azure)",,[''],[''],https://www.anapioficeandfire.com/api/characters/673,,https://www.anapioficeandfire.com/api/houses/10,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/404', 'https://www.anapioficeandfire.com/api/characters/553', 'https://www.anapioficeandfire.com/api/characters/673', 'https://www.anapioficeandfire.com/api/characters/1094']",https://www.anapioficeandfire.com/api/houses/151
House Goodbrother of Corpse Lake,Iron Islands,,,[''],['Corpse Lake'],,,https://www.anapioficeandfire.com/api/houses/155,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/152
House Goodbrother of Crow Spike Keep,Iron Islands,,,[''],['Crow Spike Keep'],,,https://www.anapioficeandfire.com/api/houses/155,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/153
House Goodbrother of Downdelving,Iron Islands,,,[''],['Downdelving'],,,https://www.anapioficeandfire.com/api/houses/155,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/154
House Goodbrother of Hammerhorn,Iron Islands,"Gules, a warhorn sable banded or.",,[''],['Hammerhorn'],https://www.anapioficeandfire.com/api/characters/434,https://www.anapioficeandfire.com/api/characters/440,https://www.anapioficeandfire.com/api/houses/169,,,,[''],"['https://www.anapioficeandfire.com/api/houses/152', 'https://www.anapioficeandfire.com/api/houses/153', 'https://www.anapioficeandfire.com/api/houses/154']","['https://www.anapioficeandfire.com/api/characters/433', 'https://www.anapioficeandfire.com/api/characters/434', 'https://www.anapioficeandfire.com/api/characters/436', 'https://www.anapioficeandfire.com/api/characters/440', 'https://www.anapioficeandfire.com/api/characters/450', 'https://www.anapioficeandfire.com/api/characters/459']",https://www.anapioficeandfire.com/api/houses/155
House Goodbrother of Orkmont,Iron Islands,,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/169,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/156
House Goodbrother of Shatterstone,Iron Islands,,,[''],['Shatterstone'],https://www.anapioficeandfire.com/api/characters/1762,,https://www.anapioficeandfire.com/api/houses/169,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/1762'],https://www.anapioficeandfire.com/api/houses/157
House Gower,The Stormlands,"Nine yellow trefoils on a black cross, on an ermine field(Ermine, on a cross sable nine trefoils or)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/17,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/416'],https://www.anapioficeandfire.com/api/houses/158
House Graceford of Holyhall,The Reach,"Tenny, on a pale wavy argent the Mother's face proper",Work Her Will,[''],['Holyhall'],https://www.anapioficeandfire.com/api/characters/81,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/81'],https://www.anapioficeandfire.com/api/houses/159
House Grafton of Gulltown,The Vale,"A yellow tower, burning, on a black pile, on a flame-red field(Gules, on a pile sable a tower or with flames issuant from the battlements proper)",,['Lord of Gulltown'],['Gulltown'],https://www.anapioficeandfire.com/api/characters/420,,https://www.anapioficeandfire.com/api/houses/7,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/420', 'https://www.anapioficeandfire.com/api/characters/456', 'https://www.anapioficeandfire.com/api/characters/1673']",https://www.anapioficeandfire.com/api/houses/160
House Grandison of Grandview,The Stormlands,"A black sleeping lion, on a yellow field(Or, a lion dormant sable)",Rouse Me Not,['Lord of Grandview'],['Grandview'],https://www.anapioficeandfire.com/api/characters/510,,https://www.anapioficeandfire.com/api/houses/17,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/465', 'https://www.anapioficeandfire.com/api/characters/510', 'https://www.anapioficeandfire.com/api/characters/517']",https://www.anapioficeandfire.com/api/houses/161
House Graves,The Reach,"Green and white gyronny, a double-headed eagle counter-charged, gold beak and talons",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/162
House Greenfield of Greenfield,The Westerlands,"A white double-tressure, on a green field(Vert, a double-tressure argent)",,['The Knight of Greenfield'],['Greenfield'],https://www.anapioficeandfire.com/api/characters/405,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/405', 'https://www.anapioficeandfire.com/api/characters/828']",https://www.anapioficeandfire.com/api/houses/163
House Greengood,The Neck,,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/318,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/164
House Greenwood,The North,,,[''],[''],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/165
House Grell,The Riverlands,"Three red martlets on a white bend, on a blue field(Azure, on a bend argent three martlets gules)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/395,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/306'],https://www.anapioficeandfire.com/api/houses/166
House Grey,The Riverlands,,,[''],[''],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/167
House Greyiron of Orkmont,Iron Islands,"The sea king's head, white with dark green seaweed beard and hair, a black crown on a grey field",,"['High King of the Iron Islands', 'King of the Iron Islands']",['Orkmont'],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/168
House Greyjoy of Pyke,Iron Islands,"Sable, a kraken Or",We Do Not Sow,"['King of Salt and Rock', 'Son of the Sea Wind', 'Lord Reaper of Pyke']",['Pyke'],https://www.anapioficeandfire.com/api/characters/385,https://www.anapioficeandfire.com/api/characters/1022,https://www.anapioficeandfire.com/api/houses/16,Age of Heroes,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/60', 'https://www.anapioficeandfire.com/api/characters/66', 'https://www.anapioficeandfire.com/api/characters/150', 'https://www.anapioficeandfire.com/api/characters/278', 'https://www.anapioficeandfire.com/api/characters/316', 'https://www.anapioficeandfire.com/api/characters/469', 'https://www.anapioficeandfire.com/api/characters/718', 'https://www.anapioficeandfire.com/api/characters/836', 'https://www.anapioficeandfire.com/api/characters/839', 'https://www.anapioficeandfire.com/api/characters/904', 'https://www.anapioficeandfire.com/api/characters/913', 'https://www.anapioficeandfire.com/api/characters/1022', 'https://www.anapioficeandfire.com/api/characters/1062', 'https://www.anapioficeandfire.com/api/characters/1072', 'https://www.anapioficeandfire.com/api/characters/1074', 'https://www.anapioficeandfire.com/api/characters/1141', 'https://www.anapioficeandfire.com/api/characters/1226', 'https://www.anapioficeandfire.com/api/characters/1250', 'https://www.anapioficeandfire.com/api/characters/1292', 'https://www.anapioficeandfire.com/api/characters/1306', 'https://www.anapioficeandfire.com/api/characters/1345', 'https://www.anapioficeandfire.com/api/characters/1372', 'https://www.anapioficeandfire.com/api/characters/1416', 'https://www.anapioficeandfire.com/api/characters/1461', 'https://www.anapioficeandfire.com/api/characters/1495', 'https://www.anapioficeandfire.com/api/characters/1595', 'https://www.anapioficeandfire.com/api/characters/1765', 'https://www.anapioficeandfire.com/api/characters/1829', 'https://www.anapioficeandfire.com/api/characters/1853', 'https://www.anapioficeandfire.com/api/characters/1893', 'https://www.anapioficeandfire.com/api/characters/1919', 'https://www.anapioficeandfire.com/api/characters/1947', 'https://www.anapioficeandfire.com/api/characters/1960', 'https://www.anapioficeandfire.com/api/characters/1971', 'https://www.anapioficeandfire.com/api/characters/1974', 'https://www.anapioficeandfire.com/api/characters/2042', 'https://www.anapioficeandfire.com/api/characters/2046', 'https://www.anapioficeandfire.com/api/characters/2049', 'https://www.anapioficeandfire.com/api/characters/2061', 'https://www.anapioficeandfire.com/api/characters/2093', 'https://www.anapioficeandfire.com/api/characters/2096', 'https://www.anapioficeandfire.com/api/characters/2117']",https://www.anapioficeandfire.com/api/houses/169
House Greystark of Wolf's Den,The North,,,[''],"[""Wolf's Den""]",,,https://www.anapioficeandfire.com/api/houses/362,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/170
House Grimm of Greyshield,The Reach,An iron escutcheon with silver studs on a grey-green field strewn with longships proper,,['Lord of Greyshield'],['Grimston'],https://www.anapioficeandfire.com/api/characters/445,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/445'],https://www.anapioficeandfire.com/api/houses/171
